Especial|||||EPF||||6|gestão| de pessoas;
Especial|1|2||||PPF|||2|coordenar e desenvolver| pesquisas e estudos para elaboração de projetos e sistemas para otimização dos serviços dos setores de identificação, bem como promover intercâmbios com os órgãos estaduais e federais de educação, pesquisa e segurança pública, na troca de informações inerentes à identificação civil, criminal, de perícia papiloscópica e representação facial humana, auxiliar o desencadeamento e ministrar ensinamentos em programas de formação, treinamento e especialização policial e afins na sua área de atuação, bem como em outras áreas do conhecimento. gerenciar procedimentos de coletas de impressões papilares nos âmbitos civil e criminal. 
|||3|||PPF||||participar| de pesquisas e estudos para elaboração de projetos e sistemas para otimização dos serviços dos setores de identificação, bem como promover intercâmbios com os órgãos estaduais e federais de educação, pesquisa e segurança pública, na troca de informações inerentes à identificação civil, criminal, de perícia papiloscópica e representação facial humana, auxiliar o desencadeamento e ministrar ensinamentos em programas de formação, treinamento e especialização policial e afins na sua área de atuação, bem como em outras áreas do conhecimento. gerenciar procedimentos de coletas de impressões papilares nos âmbitos civil e criminal. 
Especial|1|2|3|||PPF|||7|realizar| perícias papiloscópicas em locais, veículos, materiais e documentos, emitindo os respectivos laudos de perícia papiloscópica e informações técnicas;
Especial|1|2|3||EPF||||16|produzir| peças cartorárias sem a necessidade da presença, mas com a anuência, da autoridade policial;
Especial|1|2|||EPF||||22|emitir| pareceres, na área de sua competência;
Especial|1|||APF|||||40|emitir| pareceres, na área de sua competência, sobre questões submetidas a seu exame por autoridades superiores;
||2|3|APF|||||34|desempenhar| outras atividades, semelhantes ou destinadas a apoiar o órgão na consecução dos seus fins; e
|1|||APF|||||20|planejar e executar| operações.
||2|3|APF||||||executar| operações.
Especial||||APF|||||19|coordenar, planejar e executar| operações táticas em decorrência de diretrizes especiais;
|1|||APF||||||planejar e executar| operações táticas em decorrência de diretrizes especiais;
|1|2|3|APF|EPF|||||executar| operações táticas em decorrência de diretrizes especiais;
Especial||||APF|||||20|coordenar, planejar e executar| operações policiais.
|||3|||PPF|||24|conduzir|, observada a devida habilitação, os meios de transporte necessários ao bom desenvolvimento das operações e missões policiais;
Especial|1|2|3||EPF||||9|atuar| nos procedimentos policiais de investigações;
|||3|||PPF|||25|atender|, no interesse do serviço, às requisições das autoridades competentes;
Especial||||||PPF|||9|colaborar| no desenvolvimento das atividades necessárias à gerência do instituto nacional de identificação e ao desempenho da polícia federal;
Especial|1|2|3||EPF||||20|participar| na elaboração dos planos de estudo de segurança orgânica; 
||2|3||EPF||||39|auxiliar| na elaboração de planos de estudo de situação, de segurança orgânica, de busca de dados e de operações policiais;
||2|3||EPF||||40|auxiliar| na elaboração de estudos e propostas de medidas destinadas a racionalizar o trabalho das operações policiais;
Especial|1|2|3||EPF||||23|participar| na elaboração das normas gerais de ação do departamento de polícia federal;
Especial|1|||APF||||||assessorar| na elaboração das normas gerais de ação do departamento de polícia federal;
Especial||||APF|||||25|coordenar, planejar, supervisionar e executar| missões de caráter sigiloso;
|1|2||APF|EPF|||||supervisionar e executar| missões de caráter sigiloso;
|||3|APF||||||executar| missões de caráter sigiloso; 
||2||||PPF|||16|orientar e cumprir| medidas de segurança orgânica e auxiliar na fiscalização do seu cumprimento;
|||3|||PPF||||cumprir| medidas de segurança orgânica e auxiliar na fiscalização do seu cumprimento;
